ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*100,NADPH,2NADPH,3_v_ATP_made,CO2
0.1,0.07,0.54444444,8.9,0.1,1199.05,1.74492872,0.498390985,20.1224624,0.558876818,0.43473774,0.56526226,0.119643311,0.011678194,6.000581383,0.097608413,0.902391587,0.087755432,0.058365137,0.038163486,58,65.86196817678653,2.7134620072937343,1.3567310036468672,0.6783655018234336,21.953989392262176,0.6783655018234336
0.1,0.07,0.54444444,10.0,0.1,1199.05,1.73944744,0.498815093,20.13931247,0.55870783,0.432350509,0.567649491,0.11969027,0.011791246,6.001682937,0.098514659,0.901485341,0.087324274,0.058561551,0.038143845,59,65.98143060658634,2.7157710397193293,1.3578855198596649,0.6789427599298324,21.993810202195448,0.6789427599298324
0.1,0.07,0.63333333,0.1,0.1,1199.05,0.01906469,0.056642581,2.28668405,0.01253859,0.000414384,0.999585616,0.061041484,0.002908083,6.831109974,0.047641086,0.952358914,0.09027649,0.04383414,0.039616586,60,3.3099354392268188,0.3587363444452473,0.1793681722226236,0.0896840861113118,1.1033118130756063,0.0896840861113118
0.1,0.07,0.63333333,1.2,0.1,1199.05,1.169707149,0.398329818,16.08151259,0.294351103,0.206399158,0.793600842,0.109322751,0.008555718,6.120549447,0.078261093,0.921738907,0.088414222,0.052465806,0.038753419,61,42.65127382903125,2.5227555007223397,1.2613777503611698,0.6306888751805849,14.21709127634375,0.6306888751805849
0.1,0.07,0.63333333,2.3,0.1,1199.05,1.776440584,0.449312252,18.14090127,0.464206707,0.448123459,0.551876541,0.119383718,0.011024537,5.994013649,0.092345399,0.907654601,0.090232901,0.05684511,0.038315489,62,65.20356652201794,2.8456442476895925,1.4228221238447962,0.7114110619223981,21.734522174005978,0.7114110619223981
0.1,0.07,0.63333333,3.4,0.1,1199.05,1.784121262,0.450359732,18.17958609,0.4674658,0.451615831,0.548384169,0.119616695,0.011168456,5.992529353,0.093368692,0.906631308,0.089967386,0.0572484,0.03827516,63,65.79430669934057,2.852278287654676,1.426139143827338,0.713069571913669,21.931435566446854,0.713069571913669
0.1,0.07,0.63333333,4.5,0.1,1199.05,1.781372415,0.450801633,18.19840187,0.467838371,0.450424654,0.549575346,0.119694828,0.011280493,5.993094415,0.094243771,0.905756229,0.089585711,0.0575026,0.03824974,64,65.99303189190682,2.855076993973279,1.4275384969866396,0.7137692484933198,21.997677297302275,0.7137692484933198
0.1,0.07,0.63333333,5.6,0.1,1199.05,1.777039426,0.451205746,18.21473146,0.467872545,0.448528005,0.551471995,0.119753599,0.011391867,5.993971135,0.095127545,0.904872455,0.089176227,0.057723922,0.038227608,65,66.14271187668612,2.8576363762931423,1.4288181881465711,0.7144090940732856,22.04757062556204,0.7144090940732856
0.1,0.07,0.63333333,6.7,0.1,1199.05,1.772144559,0.451563686,18.23034403,0.467723237,0.446382883,0.553617117,0.119804721,0.011502321,5.994960012,0.096008913,0.903991087,0.088755067,0.057931769,0.038206823,66,66.2730506573919,2.8599033296145446,1.4299516648072723,0.7149758324036362,22.091016885797305,0.7149758324036362
0.1,0.07,0.63333333,7.8,0.1,1199.05,1.766978518,0.45197379,18.24567942,0.467625485,0.444119185,0.555880815,0.119855553,0.01161549,5.995998964,0.096912402,0.903087598,0.088328214,0.058133055,0.038186694,67,66.40277839455449,2.862500654934207,1.4312503274671036,0.7156251637335518,22.134259464851496,0.7156251637335518
