ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,Phi2*PSII_antenna_size*100
0.3,3.0,0.5,0.1,329,0.112419563,5.62097815
0.3,3.0,0.5,0.5,330,0.519473755,25.973687750000003
0.3,3.0,0.5,1.0,331,0.767882611,38.39413055
0.3,3.0,0.5,4.0,332,0.695504663,34.77523315
0.3,3.0,0.5,6.0,333,0.696295495,34.81477475
0.3,3.0,0.5,8.0,334,0.6972456,34.86228
0.3,3.0,0.5,10.0,335,0.698244866,34.9122433
0.3,3.0,0.7,0.1,336,0.080385367,5.626975689999999
0.3,3.0,0.7,0.5,337,0.375400334,26.278023379999997
0.3,3.0,0.7,1.0,338,0.683930821,47.87515747
0.3,3.0,0.7,4.0,339,0.67289212,47.1024484
0.3,3.0,0.7,6.0,340,0.673633285,47.15432995
0.3,3.0,0.7,8.0,341,0.674537044,47.21759308
0.3,3.0,0.7,10.0,342,0.675519344,47.286354079999995
0.3,3.0,0.9,0.1,343,0.062557315,5.63015835
0.3,3.0,0.9,0.5,344,0.293226845,26.390416050000002
0.3,3.0,0.9,1.0,345,0.55486693,49.9380237
0.3,3.0,0.9,4.0,346,0.657763398,59.19870582000001
0.3,3.0,0.9,6.0,347,0.658414753,59.25732777
0.3,3.0,0.9,8.0,348,0.659353934,59.341854059999996
0.3,3.0,0.9,10.0,349,0.660335498,59.430194820000004
0.3,5.0,0.1,0.1,350,0.554378045,5.54378045
0.3,5.0,0.1,0.5,351,0.821859535,8.218595350000001
0.3,5.0,0.1,1.0,352,0.816960752,8.16960752
0.3,5.0,0.1,4.0,353,0.817267176,8.17267176
0.3,5.0,0.1,6.0,354,0.817518872,8.17518872
0.3,5.0,0.1,8.0,355,0.817774271,8.17774271
0.3,5.0,0.1,10.0,356,0.818027295,8.18027295
0.3,5.0,0.3,0.1,357,0.190960262,5.728807859999999
0.3,5.0,0.3,0.5,358,0.7874489,23.623466999999998
0.3,5.0,0.3,1.0,359,0.803940465,24.11821395
0.3,5.0,0.3,4.0,360,0.769479179,23.08437537
0.3,5.0,0.3,6.0,361,0.770071459,23.102143769999998
0.3,5.0,0.3,8.0,362,0.770811744,23.124352319999996
0.3,5.0,0.3,10.0,363,0.771606165,23.14818495
0.3,5.0,0.5,0.1,364,0.114954953,5.74774765
0.3,5.0,0.5,0.5,365,0.528493156,26.424657800000002
0.3,5.0,0.5,1.0,366,0.796213684,39.810684200000004
0.3,5.0,0.5,4.0,367,0.733036161,36.65180805
0.3,5.0,0.5,6.0,368,0.733690777,36.684538849999996
0.3,5.0,0.5,8.0,369,0.734554718,36.7277359
0.3,5.0,0.5,10.0,370,0.735488496,36.7744248
0.3,5.0,0.7,0.1,371,0.082216081,5.755125669999999
0.3,5.0,0.7,0.5,372,0.382149062,26.750434339999995
0.3,5.0,0.7,1.0,373,0.70588542,49.41197939999999
0.3,5.0,0.7,4.0,374,0.708025438,49.56178066
0.3,5.0,0.7,6.0,375,0.708562926,49.59940482
0.3,5.0,0.7,8.0,376,0.709445826,49.661207819999994
0.3,5.0,0.7,10.0,377,0.710417648,49.72923536
0.3,5.0,0.9,0.1,378,0.063986016,5.7587414400000005
0.3,5.0,0.9,0.5,379,0.298564874,26.87083866
0.3,5.0,0.9,1.0,380,0.569869185,51.28822665
0.3,5.0,0.9,4.0,381,0.690722651,62.16503859
0.3,5.0,0.9,6.0,382,0.690489773,62.14407957
0.3,5.0,0.9,8.0,383,0.691341634,62.22074706
0.3,5.0,0.9,10.0,384,0.692309072,62.30781648
0.3,7.0,0.1,0.1,385,0.561004007,5.61004007
0.3,7.0,0.1,0.5,386,0.825403194,8.25403194
0.3,7.0,0.1,1.0,387,0.822682155,8.22682155
0.3,7.0,0.1,4.0,388,0.822896245,8.228962450000001
0.3,7.0,0.1,6.0,389,0.823050306,8.23050306
0.3,7.0,0.1,8.0,390,0.823199759,8.23199759
0.3,7.0,0.1,10.0,391,0.82334579,8.233457900000001
0.3,7.0,0.3,0.1,392,0.193993644,5.819809319999999
0.3,7.0,0.3,0.5,393,0.7918212,23.754635999999998
0.3,7.0,0.3,1.0,394,0.814648896,24.439466879999998
0.3,7.0,0.3,4.0,395,0.789542965,23.686288949999998
0.3,7.0,0.3,6.0,396,0.790061323,23.70183969
0.3,7.0,0.3,8.0,397,0.790647526,23.719425779999998
0.3,7.0,0.3,10.0,398,0.791272396,23.738171879999996
0.3,7.0,0.5,0.1,399,0.116822934,5.8411467
0.3,7.0,0.5,0.5,400,0.533851984,26.6925992
0.3,7.0,0.5,1.0,401,0.806526126,40.3263063
0.3,7.0,0.5,4.0,402,0.757530874,37.8765437
0.3,7.0,0.5,6.0,403,0.758152557,37.90762785
0.3,7.0,0.5,8.0,404,0.758898219,37.94491095
0.3,7.0,0.5,10.0,405,0.759678876,37.9839438
0.3,7.0,0.7,0.1,406,0.083561237,5.849286589999999
0.3,7.0,0.7,0.5,407,0.386353688,27.044758159999997
0.3,7.0,0.7,1.0,408,0.715044535,50.053117449999995
0.3,7.0,0.7,4.0,409,0.733032244,51.31225708
0.3,7.0,0.7,6.0,410,0.73348515,51.343960499999994
0.3,7.0,0.7,8.0,411,0.734283833,51.399868309999995
0.3,7.0,0.7,10.0,412,0.73519477,51.46363389999999
0.3,7.0,0.9,0.1,413,0.065039073,5.85351657
0.3,7.0,0.9,0.5,414,0.301943396,27.174905639999995
0.3,7.0,0.9,1.0,415,0.577003703,51.930333270000006
0.3,7.0,0.9,4.0,416,0.722915518,65.06239662
0.3,7.0,0.9,6.0,417,0.714589909,64.31309181
0.3,7.0,0.9,8.0,418,0.71537224,64.3835016
0.3,7.0,0.9,10.0,419,0.716304386,64.46739474
0.7,0.07,0.1,0.1,420,0.16199908,1.6199907999999998
0.7,0.07,0.1,0.5,421,0.174020604,1.74020604
0.7,0.07,0.1,1.0,422,0.175172173,1.7517217299999999
0.7,0.07,0.1,4.0,423,0.176631501,1.76631501
0.7,0.07,0.1,6.0,424,0.177215352,1.7721535199999998
0.7,0.07,0.1,8.0,425,0.177745172,1.7774517200000002
0.7,0.07,0.1,10.0,426,0.178250513,1.78250513
0.7,0.07,0.3,0.1,427,0.053690624,1.6107187199999997
0.7,0.07,0.3,0.5,428,0.057223628,1.71670884
0.7,0.07,0.3,1.0,429,0.057584687,1.7275406100000001
0.7,0.07,0.3,4.0,430,0.058047298,1.7414189399999997
0.7,0.07,0.3,6.0,431,0.058265245,1.7479573499999999
0.7,0.07,0.3,8.0,432,0.058455817,1.7536745100000002
