Phi2,P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,
0.240495834,0.7,0.7,0.07,0.3,0.7,7.214875017
0.240495834,0.7,0.7,0.07,0.3,0.7,7.214875017
0.240495834,0.7,0.7,0.07,0.3,0.7,7.214875017
0.240495834,0.7,0.7,0.07,0.3,0.7,7.214875017
0.144808607,0.7,0.7,0.07,0.5,0.7,7.240430361
0.144808607,0.7,0.7,0.07,0.5,0.7,7.240430361
0.144808607,0.7,0.7,0.07,0.5,0.7,7.240430361
0.144808607,0.7,0.7,0.07,0.5,0.7,7.240430361
0.144808607,0.7,0.7,0.07,0.5,0.7,7.240430361
0.144808607,0.7,0.7,0.07,0.5,0.7,7.240430361
0.144808607,0.7,0.7,0.07,0.5,0.7,7.240430361
0.103351154,0.7,0.7,0.07,0.7,0.7,7.23458079
0.103351154,0.7,0.7,0.07,0.7,0.7,7.23458079
0.103351154,0.7,0.7,0.07,0.7,0.7,7.23458079
0.103351154,0.7,0.7,0.07,0.7,0.7,7.23458079
