ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,idx
0.1,3.15,0.72222222,2.3,4.5,472
0.1,3.15,0.72222222,3.4,4.5,473
0.1,3.15,0.72222222,4.5,4.5,474
0.1,3.15,0.72222222,5.6,4.5,475
0.1,3.15,0.72222222,6.7,4.5,476
0.1,3.15,0.72222222,7.8,4.5,477
0.1,3.15,0.72222222,8.9,4.5,478
0.1,3.15,0.72222222,10.0,4.5,479
0.1,3.15,0.81111111,0.1,4.5,480
0.1,3.15,0.81111111,1.2,4.5,481
0.1,3.15,0.81111111,2.3,4.5,482
0.1,3.15,0.81111111,3.4,4.5,483
0.1,3.15,0.81111111,4.5,4.5,484
0.1,3.15,0.81111111,5.6,4.5,485
0.1,3.15,0.81111111,6.7,4.5,486
0.1,3.15,0.81111111,7.8,4.5,487
0.1,3.15,0.81111111,8.9,4.5,488
0.1,3.15,0.81111111,10.0,4.5,489
0.1,3.15,0.9,0.1,4.5,490
0.1,3.15,0.9,1.2,4.5,491
0.1,3.15,0.9,2.3,4.5,492
0.1,3.15,0.9,3.4,4.5,493
0.1,3.15,0.9,4.5,4.5,494
0.1,3.15,0.9,5.6,4.5,495
0.1,3.15,0.9,6.7,4.5,496
0.1,3.15,0.9,7.8,4.5,497
0.1,3.15,0.9,8.9,4.5,498
0.1,3.15,0.9,10.0,4.5,499
0.1,3.92,0.1,0.1,5.6,500
0.1,3.92,0.1,1.2,5.6,501
0.1,3.92,0.1,2.3,5.6,502
0.1,3.92,0.1,3.4,5.6,503
0.1,3.92,0.1,4.5,5.6,504
0.1,3.92,0.1,5.6,5.6,505
0.1,3.92,0.1,6.7,5.6,506
0.1,3.92,0.1,7.8,5.6,507
0.1,3.92,0.1,8.9,5.6,508
0.1,3.92,0.1,10.0,5.6,509
0.1,3.92,0.18888889,0.1,5.6,510
0.1,3.92,0.18888889,1.2,5.6,511
0.1,3.92,0.18888889,2.3,5.6,512
0.1,3.92,0.18888889,3.4,5.6,513
0.1,3.92,0.18888889,4.5,5.6,514
0.1,3.92,0.18888889,5.6,5.6,515
0.1,3.92,0.18888889,6.7,5.6,516
0.1,3.92,0.18888889,7.8,5.6,517
0.1,3.92,0.18888889,8.9,5.6,518
0.1,3.92,0.18888889,10.0,5.6,519
0.1,3.92,0.27777778,0.1,5.6,520
0.1,3.92,0.27777778,1.2,5.6,521
0.1,3.92,0.27777778,2.3,5.6,522
0.1,3.92,0.27777778,3.4,5.6,523
0.1,3.92,0.27777778,4.5,5.6,524
0.1,3.92,0.27777778,5.6,5.6,525
0.1,3.92,0.27777778,6.7,5.6,526
0.1,3.92,0.27777778,7.8,5.6,527
0.1,3.92,0.27777778,8.9,5.6,528
0.1,3.92,0.27777778,10.0,5.6,529
0.1,3.92,0.36666667,0.1,5.6,530
0.1,3.92,0.36666667,1.2,5.6,531
0.1,3.92,0.36666667,2.3,5.6,532
0.1,3.92,0.36666667,3.4,5.6,533
0.1,3.92,0.36666667,4.5,5.6,534
0.1,3.92,0.36666667,5.6,5.6,535
0.1,3.92,0.36666667,6.7,5.6,536
0.1,3.92,0.36666667,7.8,5.6,537
0.1,3.92,0.36666667,8.9,5.6,538
0.1,3.92,0.36666667,10.0,5.6,539
0.1,3.92,0.45555556,0.1,5.6,540
0.1,3.92,0.45555556,1.2,5.6,541
0.1,3.92,0.45555556,2.3,5.6,542
0.1,3.92,0.45555556,3.4,5.6,543
0.1,3.92,0.45555556,4.5,5.6,544
0.1,3.92,0.45555556,5.6,5.6,545
0.1,3.92,0.45555556,6.7,5.6,546
0.1,3.92,0.45555556,7.8,5.6,547
0.1,3.92,0.45555556,8.9,5.6,548
0.1,3.92,0.45555556,10.0,5.6,549
0.1,3.92,0.54444444,0.1,5.6,550
0.1,3.92,0.54444444,1.2,5.6,551
0.1,3.92,0.54444444,2.3,5.6,552
0.1,3.92,0.54444444,3.4,5.6,553
0.1,3.92,0.54444444,4.5,5.6,554
0.1,3.92,0.54444444,5.6,5.6,555
0.1,3.92,0.54444444,6.7,5.6,556
0.1,3.92,0.54444444,7.8,5.6,557
0.1,3.92,0.54444444,8.9,5.6,558
0.1,3.92,0.54444444,10.0,5.6,559
0.1,3.92,0.63333333,0.1,5.6,560
0.1,3.92,0.63333333,1.2,5.6,561
0.1,3.92,0.63333333,2.3,5.6,562
0.1,3.92,0.63333333,3.4,5.6,563
0.1,3.92,0.63333333,4.5,5.6,564
