ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.7,3,0.7,8,8.773575526
0.7,3,0.7,10,8.782471157
0.7,3,0.9,0.1,0.04968727
0.7,3,0.9,0.5,0.245597628
0.7,3,0.9,1,0.490535574
0.7,3,0.9,4,1.961418318
0.7,3,0.9,6,2.961695192
0.7,3,0.9,8,4.09491967
0.7,3,0.9,10,5.37594181
0.7,5,0.1,0.1,0.280073618
0.7,5,0.1,0.5,1.269848653
0.7,5,0.1,1,1.269977959
0.7,5,0.1,4,1.270472959
0.7,5,0.1,6,1.270785462
0.7,5,0.1,8,1.271114496
0.7,5,0.1,10,1.271419203
0.7,5,0.3,0.1,0.206493671
0.7,5,0.3,0.5,1.138426396
0.7,5,0.3,1,2.508612639
0.7,5,0.3,4,3.697342973
0.7,5,0.3,6,3.69986304
0.7,5,0.3,8,3.702695933
0.7,5,0.3,10,3.705668587
0.7,5,0.5,0.1,0.147625421
0.7,5,0.5,0.5,0.738915246
0.7,5,0.5,1,1.577894955
0.7,5,0.5,4,5.86922681
0.7,5,0.5,6,5.87582262
0.7,5,0.5,8,5.88268915
0.7,5,0.5,10,5.89005967
0.7,5,0.7,0.1,0.088879253
0.7,5,0.7,0.5,0.441731562
0.7,5,0.7,1,0.884829113
0.7,5,0.7,4,4.16344245
0.7,5,0.7,6,6.535826387
0.7,5,0.7,8,7.798486023
0.7,5,0.7,10,7.81076699
0.7,5,0.9,0.1,0.030059317
0.7,5,0.9,0.5,0.147680559
0.7,5,0.9,1,0.294660587
0.7,5,0.9,4,1.179801516
0.7,5,0.9,6,1.787087991
0.7,5,0.9,8,2.467704971
0.7,5,0.9,10,3.227248755
0.7,7,0.1,0.1,0.201906273
0.7,7,0.1,0.5,0.90835832
0.7,7,0.1,1,0.908421113
0.7,7,0.1,4,0.908716056
0.7,7,0.1,6,0.908905768
0.7,7,0.1,8,0.90911188
0.7,7,0.1,10,0.909293384
0.7,7,0.3,0.1,0.147868146
0.7,7,0.3,0.5,0.815996348
0.7,7,0.3,1,1.79191809
0.7,7,0.3,4,2.68390723
0.7,7,0.3,6,2.685302476
0.7,7,0.3,8,2.686721894
0.7,7,0.3,10,2.688197247
0.7,7,0.5,0.1,0.105699912
